Year,m,d,Time,Time zone,Air temperature (degC)
2022,4,21,12:00,UTC,13.2
2022,4,21,13:00,UTC,12.9
2022,4,21,14:00,UTC,12.4
2022,4,21,15:00,UTC,12.5
2022,4,21,16:00,UTC,10.1
2022,4,21,17:00,UTC,9.6
2022,4,21,18:00,UTC,8.9
2022,4,21,19:00,UTC,8.1
2022,4,21,20:00,UTC,7.9
2022,4,21,21:00,UTC,7.3
2022,4,21,22:00,UTC,6.8
2022,4,21,23:00,UTC,6.6
2022,4,22,00:00,UTC,6.4
2022,4,22,01:00,UTC,5.4
2022,4,22,02:00,UTC,4.7
2022,4,22,03:00,UTC,4.2
2022,4,22,04:00,UTC,4.6
2022,4,22,05:00,UTC,7.2
2022,4,22,06:00,UTC,8.9
2022,4,22,07:00,UTC,10.7
2022,4,22,08:00,UTC,12.9
2022,4,22,09:00,UTC,13.9
2022,4,22,10:00,UTC,12.5
2022,4,22,11:00,UTC,10.7
2022,4,22,12:00,UTC,11.5
2022,4,22,13:00,UTC,11
2022,4,22,14:00,UTC,11.4
2022,4,22,15:00,UTC,10.6
2022,4,22,16:00,UTC,10.5
2022,4,22,17:00,UTC,10.4
2022,4,22,18:00,UTC,8.9
2022,4,22,19:00,UTC,7.3
2022,4,22,20:00,UTC,6.5
2022,4,22,21:00,UTC,6.1
2022,4,22,22:00,UTC,6.2
2022,4,22,23:00,UTC,5.4
2022,4,23,00:00,UTC,5.8
